timestamp,msg_type,time,latitude,longitude,altitude,fix,satellites,fix_state,age_of_correction,course_over_ground_degrees,course_over_ground_degrees_magnetic,speed_kmh,mode,position_diluition_precision,horizontal_diluition_precision,vertical_diluition_precision,heading_valid,heading_vehicle,heading_motion,heading_accuracy_estimate,speed_accuracy,
1648476971.089199066,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.081000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.089648008,GGA,141611.05,46.260258100,11.187948700,244.000000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.090110064,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.090537071,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.090936899,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.137650967,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.107000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.138168097,GGA,141611.10,46.260258200,11.187948800,244.000000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.138720036,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.139177084,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.139631987,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.188261032,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.232000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.188852072,GGA,141611.15,46.260258200,11.187949000,244.100000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.189373016,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.190018892,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.190417051,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.238027096,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.075000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.238717079,GGA,141611.20,46.260258300,11.187949000,244.100000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.239299059,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.239787102,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.241456032,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.293663979,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.181000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.294210911,GGA,141611.25,46.260258300,11.187949100,244.200000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.294809103,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.295450926,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.296118975,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.337795973,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.187000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.338268995,GGA,141611.30,46.260258300,11.187949200,244.200000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.338773966,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.339207888,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.339647055,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.387703896,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.155000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.388278008,GGA,141611.35,46.260258400,11.187949300,244.200000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.388732910,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.389277935,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.389755011,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.438138962,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.053000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.438859940,GGA,141611.40,46.260258400,11.187949400,244.300000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.439373970,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
