timestamp,lon,lat
1664188210000000,11.313273,46.4334271
1664188211000000,11.3132728,46.4334271
1664188212000000,11.3132726,46.4334272
1664188213000000,11.3132725,46.4334272
1664188214000000,11.3132723,46.4334272
1664188215000000,11.3132721,46.4334272
1664188216000000,11.313272,46.4334273
1664188217000000,11.3132718,46.4334273
1664188218000000,11.3132717,46.4334273
1664188219000000,11.3132717,46.4334273
1664188220000000,11.3132715,46.4334274
1664188221000000,11.3132715,46.4334274
1664188222000000,11.3132713,46.4334275
1664188223000000,11.3132712,46.4334276
1664188224000000,11.313271,46.4334276
1664188225000000,11.313271,46.4334276
1664188226000000,11.313271,46.4334276
1664188227000000,11.313271,46.4334276
1664188228000000,11.3132709,46.4334276
1664188229000000,11.3132709,46.4334277
1664188230000000,11.3132708,46.4334277
1664188231000000,11.3132709,46.4334277
1664188232000000,11.313271,46.4334278
1664188233000000,11.3132711,46.4334278
1664188234000000,11.3132712,46.4334279
1664188235000000,11.3132714,46.4334278
1664188236000000,11.3132715,46.4334277
1664188237000000,11.3132716,46.4334277
1664188238000000,11.3132717,46.4334276
1664188239000000,11.3132718,46.4334275
1664188240000000,11.3132719,46.4334275
1664188241000000,11.3132719,46.4334274
1664188242000000,11.3132718,46.4334273
1664188243000000,11.3132718,46.4334272
1664188244000000,11.3132718,46.4334271
1664188245000000,11.3132722,46.4334269
1664188246000000,11.3132768,46.4334252
1664188247000000,11.313291,46.4334206
1664188248000000,11.3133182,46.4334079
1664188249000000,11.3133444,46.4333745
1664188250000000,11.3133336,46.43332
1664188251000000,11.3132513,46.4332798
1664188252000000,11.3131407,46.4333097
1664188253000000,11.3131366,46.4333966
1664188254000000,11.3132421,46.4334416
1664188255000000,11.3133416,46.4333986
1664188256000000,11.3133366,46.4333158
1664188257000000,11.313223,46.4332764
1664188258000000,11.3131228,46.4333315
1664188259000000,11.3131549,46.4334164
1664188260000000,11.3132835,46.4334329
1664188261000000,11.3133535,46.4333598
1664188262000000,11.3132863,46.4332855
1664188263000000,11.3131602,46.4332958
1664188264000000,11.3131269,46.4333809
1664188265000000,11.3132311,46.4334337
1664188266000000,11.3133399,46.4333843
1664188267000000,11.3133141,46.4332965
1664188268000000,11.313185,46.4332773
1664188269000000,11.3131131,46.4333536
1664188270000000,11.3131849,46.433431
1664188271000000,11.3133015,46.4334218
1664188272000000,11.3133432,46.4333302
1664188273000000,11.3132477,46.4332738
1664188274000000,11.3131396,46.4333062
1664188275000000,11.3131196,46.4333641
1664188276000000,11.3131337,46.4333907
1664188277000000,11.3131343,46.4333916
1664188278000000,11.3131345,46.4333915
1664188279000000,11.3131347,46.4333914
1664188280000000,11.313135,46.4333913
1664188281000000,11.3131351,46.4333912
1664188282000000,11.3131353,46.4333911
1664188283000000,11.3131355,46.433391
1664188284000000,11.3131357,46.433391
1664188285000000,11.3131359,46.4333909
1664188286000000,11.313136,46.4333909
1664188287000000,11.3131361,46.4333909
1664188288000000,11.3131363,46.4333909
1664188289000000,11.3131364,46.433391
1664188290000000,11.3131364,46.433391
1664188291000000,11.3131364,46.4333911
1664188292000000,11.3131364,46.4333911
1664188293000000,11.3131363,46.4333913
1664188294000000,11.3131361,46.4333914
1664188295000000,11.3131361,46.4333914
1664188296000000,11.3131359,46.4333915
1664188297000000,11.3131357,46.4333914
1664188298000000,11.3131356,46.4333913
1664188299000000,11.3131356,46.4333912
1664188300000000,11.3131356,46.4333912
1664188301000000,11.3131356,46.4333911
1664188302000000,11.3131354,46.433391
1664188303000000,11.3131355,46.4333909
1664188304000000,11.3131355,46.4333907
1664188305000000,11.3131357,46.4333907
1664188306000000,11.3131357,46.4333906
1664188307000000,11.3131358,46.4333905
1664188308000000,11.3131359,46.4333905
1664188309000000,11.313136,46.4333904
1664188310000000,11.313136,46.4333904
1664188311000000,11.313136,46.4333904
1664188312000000,11.3131358,46.4333905
1664188313000000,11.3131358,46.4333906
1664188314000000,11.3131357,46.4333908
