timestamp,lon,lat
1670850146000000,11.3131695,46.4335321
1670850147000000,11.3131393,46.4334607
1670850148000000,11.3131292,46.433399
1670850149000000,11.3131678,46.433344
1670850150000000,11.3132486,46.4333194
1670850151000000,11.3133278,46.4333393
1670850152000000,11.3133664,46.433399
1670850153000000,11.3133344,46.4334618
1670850154000000,11.3133155,46.4335207
1670850155000000,11.3133297,46.4335755
1670850156000000,11.3133471,46.4336296
1670850157000000,11.3133924,46.4336765
1670850158000000,11.3134117,46.4337469
1670850159000000,11.3134186,46.433823
1670850160000000,11.3134195,46.4338807
1670850161000000,11.3133936,46.4339179
1670850162000000,11.3133513,46.4339261
1670850163000000,11.3133157,46.4339092
1670850164000000,11.313303,46.4338878
1670850165000000,11.3132993,46.4338764
1670850166000000,11.3132984,46.4338733
1670850167000000,11.3132986,46.4338732
1670850168000000,11.3132991,46.433873
1670850169000000,11.3132994,46.433873
1670850170000000,11.3132999,46.433873
1670850171000000,11.3133,46.4338731
1670850172000000,11.3133005,46.4338728
1670850173000000,11.3133008,46.4338729
1670850174000000,11.313301,46.4338727
1670850175000000,11.3133015,46.4338728
1670850176000000,11.3133017,46.4338727
1670850177000000,11.3133017,46.433872
1670850178000000,11.313301,46.4338684
1670850179000000,11.3132962,46.4338549
1670850180000000,11.3132872,46.4338304
1670850181000000,11.3132736,46.4337926
1670850182000000,11.313255,46.433742
1670850183000000,11.3132332,46.4336866
1670850184000000,11.3132148,46.4336324
1670850185000000,11.3131978,46.4335773
1670850186000000,11.313172,46.4335144
1670850187000000,11.3131433,46.4334495
1670850188000000,11.3131371,46.433385
1670850189000000,11.3131802,46.4333286
1670850190000000,11.3132599,46.4333083
1670850191000000,11.3133413,46.4333387
1670850192000000,11.3133623,46.4334038
1670850193000000,11.3133273,46.4334706
1670850194000000,11.3133245,46.4335385
1670850195000000,11.3133423,46.4336042
1670850196000000,11.3133882,46.4336619
1670850197000000,11.3134153,46.433743
1670850198000000,11.3134247,46.4338339
1670850199000000,11.3134141,46.4338995
1670850200000000,11.3133579,46.4339249
1670850201000000,11.313307,46.4338952
1670850202000000,11.3132796,46.4338254
1670850203000000,11.3132433,46.4337219
1670850204000000,11.3131994,46.4335922
1670850205000000,11.3131516,46.4334843
1670850206000000,11.3131237,46.4334025
1670850207000000,11.3131617,46.4333331
1670850208000000,11.3132562,46.4333093
1670850209000000,11.313341,46.4333495
1670850210000000,11.3133431,46.4334253
1670850211000000,11.3133065,46.4335003
1670850212000000,11.3133234,46.4335795
1670850213000000,11.3133627,46.4336453
1670850214000000,11.3133973,46.4337179
1670850215000000,11.313411,46.4338194
1670850216000000,11.3134022,46.4338974
1670850217000000,11.3133487,46.4339264
1670850218000000,11.3132951,46.4338983
1670850219000000,11.3132695,46.4338227
1670850220000000,11.3132304,46.4337033
1670850221000000,11.3131758,46.4335545
1670850222000000,11.3131293,46.4334409
1670850223000000,11.3131441,46.4333499
1670850224000000,11.3132549,46.4333098
1670850225000000,11.3133609,46.4333486
1670850226000000,11.313341,46.4334402
1670850227000000,11.3133198,46.4335157
1670850228000000,11.3133399,46.4335918
