timestamp	utc_time	latitude	longitude	ns_indicator	ew_indicator	altitude
16046647093715530	121430.00	46.43396083333333	11.313221	N	E	46.0
16046647103717494	121431.00	46.43396016666667	11.313219	N	E	46.0
16046647113726282	121432.00	46.43394000000001	11.313210166666668	N	E	46.0
16046647123706068	121433.00	46.433893	11.313190000000002	N	E	46.0
16046647133709906	121434.00	46.43382116666667	11.313154999999998	N	E	46.0
16046647143720608	121435.00	46.43372516666667	11.3131095	N	E	46.0
16046647153711212	121436.00	46.43360683333334	11.313056333333334	N	E	46.0
16046647163707172	121437.00	46.43348933333333	11.313006333333332	N	E	46.0
16046647173696734	121438.00	46.43338866666666	11.312968166666666	N	E	46.0
16046647183740620	121439.00	46.43330266666667	11.312980333333334	N	E	46.0
16046647193732718	121440.00	46.43324500000001	11.313065833333335	N	E	46.0
16046647203722578	121441.00	46.43323900000001	11.313189333333334	N	E	46.0
16046647213721990	121442.00	46.433296999999996	11.313319166666668	N	E	46.0
16046647223730226	121443.00	46.43340716666666	11.313429166666666	N	E	46.0
16046647233738632	121444.00	46.43355633333334	11.313514666666666	N	E	46.0
16046647243726732	121445.00	46.43372550000001	11.313578333333332	N	E	46.0
16046647253728384	121446.00	46.4339145	11.313642166666668	N	E	46.0
16046647263703296	121447.00	46.43410216666666	11.313715833333333	N	E	46.0
16046647273700790	121448.00	46.434271	11.313778666666668	N	E	46.0
16046647283707752	121449.00	46.43442366666666	11.313828166666669	N	E	46.0
16046647293703800	121450.00	46.43454883333334	11.31379	N	E	46.0
16046647303753696	121451.00	46.434631833333334	11.313696499999999	N	E	46.0
16046647313751480	121452.00	46.434657333333334	11.313569500000002	N	E	46.0
16046647323703742	121453.00	46.43462416666666	11.313461333333333	N	E	46.0
16046647333711212	121454.00	46.43454133333333	11.313400666666666	N	E	46.0
16046647343711496	121455.00	46.43444266666667	11.313361166666667	N	E	46.0
16046647353706744	121456.00	46.434341499999995	11.313327833333336	N	E	46.0
16046647363693714	121457.00	46.434246833333326	11.3132985	N	E	46.0
16046647373691768	121458.00	46.434163166666664	11.313272333333336	N	E	46.0
16046647383748980	121459.00	46.43409066666667	11.313247833333334	N	E	46.0
16046647393743262	121500.00	46.434032499999994	11.313227999999999	N	E	46.0
16046647403710268	121501.00	46.43399483333333	11.313214333333333	N	E	46.0
16046647413712964	121502.00	46.43398083333333	11.313207666666665	N	E	46.0
16046647423695858	121503.00	46.433979	11.313206333333333	N	E	46.0
16046647433699768	121504.00	46.43397950000001	11.313206666666668	N	E	46.0
16046647443702630	121505.00	46.43397933333333	11.313207333333333	N	E	46.0
16046647453709934	121506.00	46.43397933333333	11.313208166666668	N	E	46.0
16046647463707016	121507.00	46.43397916666667	11.313208833333332	N	E	46.0
16046647473727052	121508.00	46.43397916666667	11.313208999999999	N	E	46.0
16046647483727574	121509.00	46.43397916666667	11.313210166666668	N	E	46.0
16046647493689482	121510.00	46.43397916666667	11.313210333333332	N	E	46.0
16046647503704460	121511.00	46.43397933333333	11.313210166666668	N	E	46.0
