timestamp	ground_speed_knots	ground_speed_human
16046647093663784	0.086	0.159
16046647103669292	0.290	0.538
16046647113694010	6.121	11.337
16046647123666386	12.192	22.580
16046647133678058	17.899	33.149
16046647143688906	23.288	43.129
16046647153676506	28.192	52.211
16046647163675582	25.736	47.663
16046647173665178	21.177	39.220
16046647183692362	18.367	34.016
16046647193687332	18.661	34.560
16046647203687192	20.260	37.521
16046647213682942	24.206	44.830
16046647223677426	29.865	55.310
16046647233685956	35.137	65.073
16046647243684544	38.887	72.018
16046647253676916	42.946	79.536
16046647263671758	41.682	77.195
16046647273666852	37.620	69.672
16046647283676354	33.209	61.503
16046647293672388	27.357	50.666
16046647303697342	21.144	39.159
16046647313693190	19.077	35.330
16046647323672054	18.330	33.947
16046647333677130	22.049	40.835
16046647343680106	22.565	41.790
16046647353674858	22.736	42.107
16046647363661912	20.482	37.933
16046647373660254	17.798	32.962
16046647383695090	15.553	28.804
16046647393693922	12.043	22.304
16046647403678176	7.156	13.252
16046647413681142	1.683	3.117
16046647423663774	0.075	0.140
16046647433667918	0.073	0.136
16046647443670912	0.029	0.054
16046647453678386	0.019	0.034
16046647463674984	0.041	0.075
16046647473685374	0.020	0.036
16046647483667534	0.074	0.137
16046647493658050	0.059	0.108
16046647503672118	0.019	0.036
