timestamp	utc_time	latitude	longitude	ns_indicator	ew_indicator
16046647094053228	121430.00	46.43396083333333	11.313221	N	E
16046647104053884	121431.00	46.43396016666667	11.313219	N	E
16046647114065744	121432.00	46.43394000000001	11.313210166666668	N	E
16046647124042538	121433.00	46.433893	11.313190000000002	N	E
16046647134046982	121434.00	46.43382116666667	11.313154999999998	N	E
16046647144059798	121435.00	46.43372516666667	11.3131095	N	E
16046647154047902	121436.00	46.43360683333334	11.313056333333334	N	E
16046647164047168	121437.00	46.43348933333333	11.313006333333332	N	E
16046647174033938	121438.00	46.43338866666666	11.312968166666666	N	E
16046647184081846	121439.00	46.43330266666667	11.312980333333334	N	E
16046647194071498	121440.00	46.43324500000001	11.313065833333335	N	E
16046647204062012	121441.00	46.43323900000001	11.313189333333334	N	E
16046647214062228	121442.00	46.433296999999996	11.313319166666668	N	E
16046647224070058	121443.00	46.43340716666666	11.313429166666666	N	E
16046647234077746	121444.00	46.43355633333334	11.313514666666666	N	E
16046647244065068	121445.00	46.43372550000001	11.313578333333332	N	E
16046647254067128	121446.00	46.4339145	11.313642166666668	N	E
16046647264043458	121447.00	46.43410216666666	11.313715833333333	N	E
16046647274039288	121448.00	46.434271	11.313778666666668	N	E
16046647284044636	121449.00	46.43442366666666	11.313828166666669	N	E
16046647294040332	121450.00	46.43454883333334	11.31379	N	E
16046647304093254	121451.00	46.434631833333334	11.313696499999999	N	E
16046647314091260	121452.00	46.434657333333334	11.313569500000002	N	E
16046647324042890	121453.00	46.43462416666666	11.313461333333333	N	E
16046647334050486	121454.00	46.43454133333333	11.313400666666666	N	E
16046647344050844	121455.00	46.43444266666667	11.313361166666667	N	E
16046647354044712	121456.00	46.434341499999995	11.313327833333336	N	E
16046647364033652	121457.00	46.434246833333326	11.3132985	N	E
16046647374039576	121458.00	46.434163166666664	11.313272333333336	N	E
16046647384098050	121459.00	46.43409066666667	11.313247833333334	N	E
16046647394090610	121500.00	46.434032499999994	11.313227999999999	N	E
16046647404059078	121501.00	46.43399483333333	11.313214333333333	N	E
16046647414061428	121502.00	46.43398083333333	11.313207666666665	N	E
16046647424044846	121503.00	46.433979	11.313206333333333	N	E
16046647434048330	121504.00	46.43397950000001	11.313206666666668	N	E
16046647444050824	121505.00	46.43397933333333	11.313207333333333	N	E
16046647454058290	121506.00	46.43397933333333	11.313208166666668	N	E
16046647464054330	121507.00	46.43397916666667	11.313208833333332	N	E
16046647474075670	121508.00	46.43397916666667	11.313208999999999	N	E
16046647484076062	121509.00	46.43397916666667	11.313210166666668	N	E
16046647494036800	121510.00	46.43397916666667	11.313210333333332	N	E
16046647504052922	121511.00	46.43397933333333	11.313210166666668	N	E
