timestamp	utc_time	latitude	longitude	ns_indicator	ew_indicator	altitude
16046647583698320	121519.00	46.43398066666667	11.313210166666668	N	E	46.0
16046647593700222	121520.00	46.433980500000004	11.313209666666667	N	E	46.0
16046647603707488	121521.00	46.433980500000004	11.313209999999998	N	E	46.0
16046647613705752	121522.00	46.43398066666667	11.313209999999998	N	E	46.0
16046647623739434	121523.00	46.43398066666667	11.313209833333334	N	E	46.0
16046647633721314	121524.00	46.43397983333333	11.313208999999999	N	E	46.0
16046647643728106	121525.00	46.4339605	11.313201166666666	N	E	46.0
16046647653722704	121526.00	46.433916333333336	11.313178999999998	N	E	46.0
16046647663705704	121527.00	46.433847833333324	11.313142999999997	N	E	46.0
16046647673714826	121528.00	46.43375533333332	11.313099499999998	N	E	46.0
16046647683715110	121529.00	46.43363983333334	11.313049666666666	N	E	46.0
16046647693735704	121530.00	46.43351866666667	11.313002833333332	N	E	46.0
16046647703723506	121531.00	46.43341133333333	11.312964499999998	N	E	46.0
16046647713718908	121532.00	46.433316500000004	11.312958	N	E	46.0
16046647723717158	121533.00	46.43324166666666	11.313034333333334	N	E	46.0
16046647733760098	121534.00	46.43322366666666	11.313168	N	E	46.0
16046647743693362	121535.00	46.43328666666666	11.313307999999997	N	E	46.0
16046647753704756	121536.00	46.43340750000001	11.313419166666664	N	E	46.0
16046647763701314	121537.00	46.43356350000001	11.313508833333334	N	E	46.0
16046647773702834	121538.00	46.433740500000006	11.313578833333334	N	E	46.0
16046647783695322	121539.00	46.43393850000001	11.313653166666667	N	E	46.0
16046647793706898	121540.00	46.43413583333333	11.313729166666667	N	E	46.0
16046647803698650	121541.00	46.43431933333333	11.313796500000002	N	E	46.0
16046647813744264	121542.00	46.434467833333336	11.313827999999999	N	E	46.0
16046647823747526	121543.00	46.43458183333334	11.313777833333333	N	E	46.0
16046647833753574	121544.00	46.43464716666667	11.313663166666668	N	E	46.0
16046647843735998	121545.00	46.434647	11.313527833333334	N	E	46.0
16046647853737530	121546.00	46.43457933333334	11.313428666666669	N	E	46.0
16046647863725522	121547.00	46.43447200000001	11.313374999999999	N	E	46.0
16046647873734568	121548.00	46.434358666666675	11.3133375	N	E	46.0
16046647883721156	121549.00	46.434253000000005	11.313307333333332	N	E	46.0
16046647893725908	121550.00	46.43415766666667	11.3132755	N	E	46.0
16046647903714302	121551.00	46.43407066666667	11.313247666666667	N	E	46.0
16046647913714118	121552.00	46.434001333333335	11.313225333333333	N	E	46.0
16046647923745358	121553.00	46.43396250000001	11.313211	N	E	46.0
16046647933725726	121554.00	46.433953833333334	11.313208000000001	N	E	46.0
