timestamp	utc_time	latitude	longitude	ns_indicator	ew_indicator
16046647584050286	121519.00	46.43398066666667	11.313210166666668	N	E
16046647594052748	121520.00	46.433980500000004	11.313209666666667	N	E
16046647604060782	121521.00	46.433980500000004	11.313209999999998	N	E
16046647614057758	121522.00	46.43398066666667	11.313209999999998	N	E
16046647624092984	121523.00	46.43398066666667	11.313209833333334	N	E
16046647634074562	121524.00	46.43397983333333	11.313208999999999	N	E
16046647644081034	121525.00	46.4339605	11.313201166666666	N	E
16046647654073718	121526.00	46.433916333333336	11.313178999999998	N	E
16046647664057030	121527.00	46.433847833333324	11.313142999999997	N	E
16046647674066306	121528.00	46.43375533333332	11.313099499999998	N	E
16046647684066556	121529.00	46.43363983333334	11.313049666666666	N	E
16046647694089272	121530.00	46.43351866666667	11.313002833333332	N	E
16046647704075212	121531.00	46.43341133333333	11.312964499999998	N	E
16046647714070792	121532.00	46.433316500000004	11.312958	N	E
16046647724070382	121533.00	46.43324166666666	11.313034333333334	N	E
16046647734114652	121534.00	46.43322366666666	11.313168	N	E
16046647744044032	121535.00	46.43328666666666	11.313307999999997	N	E
16046647754059958	121536.00	46.43340750000001	11.313419166666664	N	E
16046647764053166	121537.00	46.43356350000001	11.313508833333334	N	E
16046647774055950	121538.00	46.433740500000006	11.313578833333334	N	E
16046647784047866	121539.00	46.43393850000001	11.313653166666667	N	E
16046647794059970	121540.00	46.43413583333333	11.313729166666667	N	E
16046647804049588	121541.00	46.43431933333333	11.313796500000002	N	E
16046647814100202	121542.00	46.434467833333336	11.313827999999999	N	E
16046647824099448	121543.00	46.43458183333334	11.313777833333333	N	E
16046647834116576	121544.00	46.43464716666667	11.313663166666668	N	E
16046647844099584	121545.00	46.434647	11.313527833333334	N	E
16046647854100104	121546.00	46.43457933333334	11.313428666666669	N	E
16046647864086968	121547.00	46.43447200000001	11.313374999999999	N	E
16046647874100928	121548.00	46.434358666666675	11.3133375	N	E
16046647884082406	121549.00	46.434253000000005	11.313307333333332	N	E
16046647894088634	121550.00	46.43415766666667	11.3132755	N	E
16046647904078302	121551.00	46.43407066666667	11.313247666666667	N	E
16046647914076528	121552.00	46.434001333333335	11.313225333333333	N	E
16046647924109078	121553.00	46.43396250000001	11.313211	N	E
